Product Name,Category,Product Image File - 1,Product Image File - 2,Product Description,Cost Price
Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170721/EVB7727-GD-ROYAL-STR-06H-353194-525-02.jpg,,"Style No : 353194 Color : Gold, Royal Blue  Size : 0.6"" H Stretchable Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet",5.25
Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170721/EVB7727-GD-GREEN-STR-06H-353200-525-02.jpg,,"Style No : 353200 Color : Gold, Green  Size : 0.6"" H Stretchable Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet",5.25
Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170721/EVB7727-GD-FU-STR-06H-353196-525-02.jpg,,"Style No : 353196 Color : Fuchsia, Gold  Size : 0.6"" H Stretchable Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet",5.25
Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170721/EVB7727-BK-BDIA-STR-06H-353202-525-02.jpg,,"Style No : 353202 Color : Black, Black Diamond  Size : 0.6"" H Stretchable Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet",5.25
Crystal Rhinestone Pearl Stretch Bracelet,JEWELRY;BRACELET/STRETCH,images/20170719/PLB1284-WH-STR-075H-352740-275-02.jpg,,"Style No : 352740 Color : Clear, Rhodium, White Theme : Pearl  Size : 0.75"" H Stretchable Crystal Rhinestone Pearl Stretch Bracelet",2.75
Floral Pave Rhinestone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170712/EVB7073-GD-GREEN-STR-075H-352186-675-02.jpg,,"Style No : 352186 Color : Gold, Green  Size : 0.75"" H Stretchable Floral Pave Rhinestone Marquise Stretch Bracelet",6.75
Floral Pave Rhinestone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170712/EVB7073-BK-HM-STR-075H-352185-675-02.jpg,,"Style No : 352185 Color : Black, Hematite  Size : 0.75"" H Stretchable Floral Pave Rhinestone Marquise Stretch Bracelet",6.75
Rooster Metal Oval Stretch Bracelet,JEWELRY;BRACELET/METAL,images/20170714/SB8899-5T-STR-07H-352447-475-02.jpg,,"Style No : 352447 Color : Multi Theme : Animal  Size : 0.7"" H Stretchable Rooster Metal Oval Stretch Bracelet",4.75
Cow Metal Square Stretch Bracelet,JEWELRY;BRACELET/METAL,images/20170714/SB8898-STT-STR-07H-352446-475-02.jpg,,"Style No : 352446 Color : Worn Silver Theme : Animal  Size : 0.7"" H Stretchable Cow Metal Square Stretch Bracelet",4.75
Sheep Metal Oval Stretch Bracelet,JEWELRY;BRACELET/METAL,images/20170714/SB8896-5T-STR-07H-352434-475-02.jpg,,"Style No : 352434 Color : Multi Theme : Animal  Size : 0.7"" H Stretchable Sheep Metal Oval Stretch Bracelet",4.75
Glass Crystal Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170712/EVB7072-GD-GRE-STR-07H-352247-600-02.jpg,,"Style No : 352247 Color : Gold, Green  Size : 0.7"" H Stretchable Glass Crystal Marquise Stretch Bracelet",6.00
Bent Hoop Metal Cuff Bracelet,JEWELRY;BRACELET/METAL,images/20170713/CFB11-4514-RG-CUFF-225H-352365-450-02.jpg,images/20170713/des_img/CFB11-4514-RG-CUFF-225H-352365-450-02-1.jpg,"Style No : 352365 Color : Rose Gold   Size : 2.25"" H Cuff Bent Hoop Metal Cuff Bracelet",4.50
Embossed Metal Stretch Bracelet,JEWELRY;BRACELET/METAL,images/20170713/SB8879-ASJ-STR-05H-352286-450-02.jpg,,"Style No : 352286 Color : Antique Silver  Size : 0.5"" H Stretchable Embossed Metal Stretch Bracelet",4.50
Embossed Metal Stretch Bracelet,JEWELRY;BRACELET/METAL,images/20170713/SB8878-ASJ-STR-05H-352285-450-02.jpg,,"Style No : 352285 Color : Antique Silver  Size : 0.5"" H Stretchable Embossed Metal Stretch Bracelet",4.50
Floral Glass Crystal Stone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170712/EVB7246-GD-GREEN-STR-1H-352207-600-02.jpg,,"Style No : 352207 Color : Gold, Green Theme : Flower & Leaf  Size : 1"" H Stretchable Floral Glass Crystal Stone Marquise Stretch Bracelet",6.00
Floral Glass Crystal Stone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170712/EVB7246-GD-FU-STR-1H-352216-600-02.jpg,,"Style No : 352216 Color : Fuchsia, Gold Theme : Flower & Leaf  Size : 1"" H Stretchable Floral Glass Crystal Stone Marquise Stretch Bracelet",6.00
Floral Glass Crystal Stone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170712/EVB7246-BK-STR-1H-352217-600-02.jpg,,"Style No : 352217 Color : Black, Jet Black Theme : Flower & Leaf  Size : 1"" H Stretchable Floral Glass Crystal Stone Marquise Stretch Bracelet",6.00
Floral Glass Crystal Stone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170712/EVB7246-BK-HM-STR-1H-352201-600-02.jpg,,"Style No : 352201 Color : Black, Hematite Theme : Flower & Leaf  Size : 1"" H Stretchable Floral Glass Crystal Stone Marquise Stretch Bracelet",6.00
